disease_id,name,icd10_code,category,severity,description,typical_duration_days
D001,Dengue Fever,A90,Infectious,4,Mosquito-borne viral infection causing high fever and joint pain.,10
D002,Influenza,J10,Infectious,2,Acute respiratory infection caused by influenza viruses.,7
D003,Type 2 Diabetes,E11,Metabolic,3,Chronic condition affecting how the body processes blood sugar.,-1
D004,Hypertension,I10,Cardiovascular,3,High blood pressure that can lead to severe complications.,-1
D005,Cystic Fibrosis,E84,Genetic,5,Genetic disorder affecting the lungs and digestive system.,-1
D006,Malaria,B50,Infectious,4,Parasitic infection transmitted by Anopheles mosquitoes.,14
D007,Sickle Cell Anemia,D57,Genetic,4,Inherited red blood cell disorder.,-1
D008,Asthma,J45,Respiratory,2,Chronic inflammation of the airways.,-1
D009,Tuberculosis,A15,Infectious,4,Bacterial infection primarily affecting the lungs.,180
D010,Alzheimer's Disease,G30,Neurological,5,Progressive neurodegenerative disease causing memory loss.,-1
D011,Multiple Sclerosis,G35,Autoimmune,4,Disease where the immune system eats away at the nerves.,-1
D012,Rheumatoid Arthritis,M05,Autoimmune,3,Chronic inflammatory disorder affecting joints.,-1
D013,Coronary Artery Disease,I25,Cardiovascular,4,Narrowing of the coronary arteries.,-1
D014,Gastroesophageal Reflux Disease,K21,Gastrointestinal,2,Digestive disorder affecting the lower esophageal sphincter.,-1
D015,Crohn's Disease,K50,Autoimmune,4,Type of inflammatory bowel disease.,-1
D016,Hypothyroidism,E03,Endocrine,2,Condition where the thyroid gland is underactive.,-1
D017,Pneumonia,J18,Infectious,4,Infection that inflames air sacs in one or both lungs.,14
D018,Migraine,G43,Neurological,2,Recurrent throbbing headache typically affecting one side.,3
D019,Psoriasis,L40,Autoimmune,2,Skin cells build up and form scales and itchy dry patches.,-1
D020,Celiac Disease,K90,Autoimmune,3,Immune reaction to eating gluten.,-1
D021,Lyme Disease,A69.3,Infectious,3,Tick-borne illness caused by Borrelia burgdorferi.,21
D022,Cholera,A00,Infectious,5,Acute diarrheal infection caused by ingestion of contaminated food.,5
D023,Gout,M10,Metabolic,3,Form of arthritis characterized by severe pain and redness.,7
D024,Parkinson's Disease,G20,Neurological,4,Disorder of the central nervous system affecting movement.,-1
D025,Epilepsy,G40,Neurological,3,Disorder in which nerve cell activity in brain is disturbed.,-1
D026,Schizophrenia,F20,Psychiatric,5,Serious mental disorder affecting how a person thinks.,-1
D027,Bipolar Disorder,F31,Psychiatric,4,Disorder associated with episodes of mood swings.,-1
D028,Systemic Lupus Erythematosus,M32,Autoimmune,4,Immune system attacks its own tissues.,-1
D029,Hepatitis B,B16,Infectious,4,Severe liver infection caused by the HBV virus.,-1
D030,Hepatitis C,B17.1,Infectious,4,Viral infection that causes liver inflammation.,-1
D031,HIV/AIDS,B20,Infectious,5,Interferes with the body's ability to fight infection.,-1
D032,Zika Virus,A92.5,Infectious,2,Mosquito-borne virus; risk to fetal development.,10
D033,Ebola Virus Disease,A98.4,Infectious,5,"Severe, often fatal illness in humans.",21
D034,Measles,B05,Infectious,3,Highly contagious infectious disease caused by virus.,12
D035,Mumps,B26,Infectious,2,Viral infection that affects salivary glands.,14
D036,Rubella,B06,Infectious,2,Contagious viral infection best known by its red rash.,10
D037,Pertussis,A37,Infectious,3,Highly contagious respiratory tract infection.,42
D038,Tetanus,A35,Infectious,5,Serious bacterial infection causing painful muscle spasms.,30
D039,Diphtheria,A36,Infectious,4,Serious infection of the nose and throat.,14
D040,Typhoid Fever,A01,Infectious,4,Bacterial infection caused by Salmonella typhi.,21
D041,Leishmaniasis,B55,Infectious,4,Parasitic disease found in parts of the tropics.,60
D042,Trypanosomiasis,B56,Infectious,5,African sleeping sickness transmitted by tsetse flies.,120
D043,Schistosomiasis,B65,Infectious,3,Disease caused by parasitic flatworms.,-1
D044,Anemia (Iron Deficiency),D50,Metabolic,2,Condition lacking enough healthy red blood cells.,60
D045,Hemophilia A,D66,Genetic,4,Genetic disorder where blood doesn't clot normally.,-1
D046,Huntington's Disease,G10,Genetic,5,Inherited condition causing nerve cells in brain to break down.,-1
